Benchmark,MPKI1,MPKI2,MPKI3
400.perlbench.1,7.59,0.58,0.01
400.perlbench.2,13.33,0.03,0.01
400.perlbench.3,2.69,0.22,0.02
401.bzip2.1,14.31,1.23,0.02
401.bzip2.2,12.17,1.67,0.01
401.bzip2.3,18.71,3.69,0.01
401.bzip2.4,8.3,0.6,0.02
401.bzip2.5,14.15,1.69,0.02
401.bzip2.6,14.19,1.35,0.02
403.gcc.1,34.5,5.02,0.38
403.gcc.2,21.64,2.64,0.44
403.gcc.3,44.16,2.3,0.31
403.gcc.4,33.72,2.61,0.3
403.gcc.5,38.46,3.05,0.48
403.gcc.6,38.38,3.2,0.53
403.gcc.7,35.96,2.94,1.07
403.gcc.8,39.08,3.51,0.6
403.gcc.9,19.16,1.72,0.24
410.bwaves.1,19.57,0.16,0.14
416.gamess.1,8.48,0,0
416.gamess.2,10.23,0,0
416.gamess.3,5.45,0.01,0
429.mcf.1,123.18,50.33,17.48
433.milc.1,26.38,10.03,9.79
434.zeusmp.1,22.08,1.3,1.07
435.gromacs.1,11.76,0.03,0
436.cactusADM.1,8.07,2.54,0.64
437.leslie3d.1,29.4,0.34,0.16
444.namd.1,10.36,0.02,0
445.gobmk.1,12.64,0.27,0.02
445.gobmk.2,11.39,0.26,0.02
445.gobmk.3,11.5,0.12,0.01
445.gobmk.4,12.5,0.22,0.02
445.gobmk.5,10.79,0.17,0.02
447.dealII.1,17.78,2.75,0.18
450.soplex.1,53.6,14.12,1.01
450.soplex.2,28.95,4.39,2.03
453.povray.1,24.94,0,0
454.calculix.1,5.59,0.06,0.02
456.hmmer.1,6.8,0.03,0
456.hmmer.2,4.73,0.01,0
458.sjeng.1,2.67,0.38,0.26
459.GemsFDTD.1,29.49,3.05,2.78
462.libquantum.1,20.64,2.63,2.45
464.h264ref.1,4.08,0.12,0
464.h264ref.2,14.05,0.08,0
464.h264ref.3,15.69,0.1,0.01
465.tonto.1,10.39,0.16,0.01
470.lbm.1,50.38,0.04,0.02
471.omnetpp.1,37.1,19.4,4.62
473.astar.1,31.22,6.31,0.32
473.astar.2,20.75,1.73,0.01
481.wrf.1,11.9,0.22,0.14
482.sphinx3.1,17.37,1.54,0
483.xalancbmk.1,27.62,3.82,0.28
