500.perlbench_r.3,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.713756647,100.978046288,7.556107693,108.534153981
DCUI,0.658922336,105.634399218,7.69349124,113.327890458
DCUP,0.691253466,107.465889511,8.216352577,115.682242088
L2A,0.699454922,107.120564705,7.758737904,114.879302609
L2P,0.700162886,121.419969879,8.783737391,130.20370727
Todos,0.644794766,137.639379068,8.671873325,146.311252393
502.gcc_r.5,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,2.133638442,1382.913087573,969.863481607,2352.77656918
DCUI,1.941925434,1403.461049324,960.328972404,2363.790021728
DCUP,2.058212719,1392.881777487,975.983031202,2368.864808689
L2A,1.96802077,1457.465221161,957.527056161,2414.992277322
L2P,1.399891952,1618.027882812,968.425823672,2586.453706484
Todos,1.308255136,1664.29882904,976.321057078,2640.619886118
503.bwaves_r.3,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.764273386,629.719393768,94.058908104,723.778301872
DCUI,0.627513654,629.80730415,93.835591284,723.642895434
DCUP,0.731177071,629.832698521,93.896341478,723.729039999
L2A,0.704028296,630.136691072,94.05615959,724.192850662
L2P,0.46940285,631.707122542,93.712229317,725.419351859
Todos,0.457058818,632.045039024,93.715510404,725.760549428
505.mcf_r.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.955384202,1664.076692587,217.89654916,1881.973241747
DCUI,1.774656824,1653.260168723,217.392388963,1870.652557686
DCUP,1.93353546,1697.728990965,217.713480853,1915.442471818
L2A,1.891774562,1846.609239015,218.181526533,2064.790765548
L2P,1.519650427,2151.337667354,217.978102216,2369.31576957
Todos,1.486401591,2171.939156458,218.079531146,2390.018687604
507.cactuBSSN_r.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.013524602,539.813946273,154.281105569,694.095051842
DCUI,0.97168188,541.567242632,154.273670106,695.840912738
DCUP,0.980565862,540.518042244,154.457832147,694.975874391
L2A,0.994509169,540.563062155,154.542178178,695.105240333
L2P,0.906918661,546.761750035,154.468873173,701.230623208
Todos,0.889995776,556.569106098,154.808713392,711.37781949
510.parest_r.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.33648756,816.70619185,40.631928291,857.338120141
DCUI,0.920216882,874.077836861,41.065265081,915.143101942
DCUP,1.081564274,844.749323064,41.542649924,886.291972988
L2A,1.131752487,860.021326044,41.096832448,901.118158492
L2P,0.625885672,949.877867087,42.206528651,992.084395738
Todos,0.591204232,963.241604912,42.419517184,1005.661122096
511.povray_r.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.424074508,0.260304807,0.256760842,0.517065649
DCUI,0.423194661,0.262822365,0.267721408,0.530543773
DCUP,0.42846067,0.264418044,0.257191522,0.521609566
L2A,0.422480443,0.274165361,0.25697617,0.531141531
L2P,0.424556093,0.292066652,0.257625653,0.549692305
Todos,0.423595935,0.305801128,0.263099738,0.568900866
519.lbm_r.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.576012001,1865.241464734,1362.601440135,3227.842904869
DCUI,1.57920421,1865.636926682,1363.103301556,3228.740228238
DCUP,1.538793705,1865.712268276,1364.333219033,3230.045487309
L2A,1.362906806,1865.127807094,1362.545091323,3227.672898417
L2P,0.704049089,1880.746804546,1363.89101359,3244.637818136
Todos,0.697384947,1881.271854502,1363.38604333,3244.657897832
520.omnetpp_r.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.817137572,731.982728155,302.997363153,1034.980091308
DCUI,1.810803932,735.643286096,303.079974141,1038.723260237
DCUP,1.805161728,811.740697348,307.21824479,1118.958942138
L2A,1.803320565,755.149160314,302.692040116,1057.84120043
L2P,1.798371422,827.211832086,306.315803771,1133.527635857
Todos,1.786830634,947.695976351,312.632763799,1260.32874015
521.wrf_r.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.260143445,305.70038166,135.106541271,440.806922931
DCUI,1.023358741,308.116507556,135.090722158,443.207229714
DCUP,1.137986315,306.843144789,135.060674255,441.903819044
L2A,1.159070609,310.738511626,135.271220256,446.009731882
L2P,0.90458971,330.821034313,134.970061184,465.791095497
Todos,0.892357306,332.376391633,134.972034961,467.348426594
523.xalancbmk_r.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.094487168,284.398915689,50.116655681,334.51557137
DCUI,0.939201854,330.460902045,50.224588829,380.685490874
DCUP,1.074248876,311.572227443,50.550406305,362.122633748
L2A,1.030894244,324.790391769,50.399074505,375.189466274
L2P,0.862095732,396.064963077,51.737992277,447.802955354
Todos,0.81962664,469.24805948,52.76476594,522.01282542
525.x264_r.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.387640204,38.425821159,16.605223689,55.031044848
DCUI,0.369670889,39.831987121,16.566627334,56.398614455
DCUP,0.371866011,39.473853071,16.573023514,56.046876585
L2A,0.379252326,39.318857555,16.57874498,55.897602535
L2P,0.363981293,40.548363799,16.584260088,57.132623887
Todos,0.34732375,44.030617692,16.674566192,60.705183884
526.blender_r.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.675328156,97.761652185,4.793062687,102.554714872
DCUI,0.661820906,99.273381435,4.76527463,104.038656065
DCUP,0.665763291,102.457896401,4.844909321,107.302805722
L2A,0.662812991,101.003328309,4.796461509,105.799789818
